mp_id,emails,phones,socials
16698,Boiko.Olena@rada.gov.ua,Тел: (044) 255-31-30,
11094,Boiko.Yurii@rada.gov.ua,Тел: (044) 255-47-31к|Факс: (044) 255-33-00,
15826,Bondar.Viktor@rada.gov.ua,Тел: (044) 255-49-49,
18066,Bondar.Mykhailo@rada.gov.ua,Тел: (044) 255-32-97 (помічник),
17998,Brenzovych.Vasyl@rada.gov.ua,Тел: (044) 255-44-27,
15838,Bryhynets.Oleksandr@rada.gov.ua,Тел: (044) 255-20-72 (помічник),
15796,Brychenko.Ihor@rada.gov.ua,Тел: (044) 255-20-73 (помічник),
15802,Bublyk.Yurii@rada.gov.ua,Тел: (044) 255-34-83,www.facebook.com/bublyk.svoboda?ref=ts&fref=ts
20287,buglack@v.rada.gov.ua,Тел: (044) 255-34-82,
15655,Burbak.Maksym@rada.gov.ua,Тел: (044) 255-42-73к|Факс: (044) 255-22-71,
15257,Bukhariev.Vladyslav@rada.gov.ua,Тел: (044) 255-35-05,
8737,Vilkul.Oleksandr@rada.gov.ua,Тел: (044) 255-37-01,
18069,Vinnyk.Ivan@rada.gov.ua,Тел: (044) 255-37-15|Факс: (044) 255-32-41*,
18043,Vitko.Artem@rada.gov.ua,Тел: (044) 255-23-13 (помічник),
18067,avadaturskyy@rada.gov.ua,Факс: (044) 255-22-83|Тел: (044) 255-37-46,www.facebook.com/andriy.vadaturskyy
18068,Valentyrov.Serhii@rada.gov.ua,Тел: (044) 255-38-36,
17964,Vanat.Petro@rada.gov.ua,,
15787,Vasiunyk.Ihor@rada.gov.ua,Тел: (044) 255-34-76 (помічник),
19857,velikin@v.rada.gov.ua,Тел: (044) 255-35-83,
17961,Velychkovych.Mykola@rada.gov.ua,Тел: (044) 255-25-76,
18008,Veselova.Nataliia@rada.gov.ua,Тел: (044) 255-44-75,
17963,Vysotskyi.Serhii@rada.gov.ua,Тел: (044) 255-95-13,
12265,Vlasenko.Serhii@rada.gov.ua,Факс: (044) 255-33-07 (приймальня)|Тел: (044) 255-39-35 (помічник),
8132,Vovk.Viktor@rada.gov.ua,Тел: (044) 255-35-74,
15807,Vozniuk.Yurii@rada.gov.ua,Тел: (044) 255-30-77|Факс: (044) 255-36-27*,
18021,Voitsitska.Viktoriia@rada.gov.ua,Тел: (044) 255-25-21,
11596,Voitsekhovska.Svitlana@rada.gov.ua,Факс: (044) 255-46-40|Тел: (044) 255-43-73,
8741,Voropaiev.Yurii@rada.gov.ua,Тел: (044) 255-92-34,
18044,Voskresenskyi.Vladyslav@rada.gov.ua,,
5606,Girshfeld.Anatolii@rada.gov.ua,Тел: (044) 255-31-34,
8746,Hiellier.Yevhenii@rada.gov.ua,Тел: (044) 255-40-23,
18070,Havryliuk.Mykhailo@rada.gov.ua,Тел: (044) 255-47-98 (помічник),
18046,Halasiuk.Viktor@rada.gov.ua,Тел: (044) 255-28-51|Факс: (044) 255-39-41,
18071,Halchenko.Andrii@rada.gov.ua,Тел: (044) 255-45-43,
18072,Harbuz.Yurii@rada.gov.ua,,
17992,Gvozdiov.Mykhailo@rada.gov.ua,,
17985,Gerasymov.Artur@rada.gov.ua,Факс: (044) 255-21-26*|Тел: (044) 255-31-15,
11121,Gerashchenko.Iryna@rada.gov.ua,Тел: 255-39-38|Факс: (044) 253-42-24,
17952,Gerashchenko.Anton@rada.gov.ua,Тел: (044) 255-24-38 (помічник),
15827,Hereha.Oleksandr@rada.gov.ua,Факс: (044) 255-33-23*|Тел: (044) 255-28-25,gerega.org.ua|nashgorodok.km.ua
15813,Holovko.Mykhailo@rada.gov.ua,Тел: (044) 255-43-59,www.facebook.com/mihaylo.holovko|vk.com/id143475164|twitter.com/GolovkoMihaylo
8238,Golub.Vladyslav@rada.gov.ua,Тел: (044) 255-38-53,
18074,Holubov.Dmytro@rada.gov.ua,Тел: (044) 255-38-56,
17984,Honcharenko.Oleksii@rada.gov.ua,Тел: (044) 255-25-84 (помічник),
18002,Hopko.Hanna@rada.gov.ua,Тел: (044) 255-21-07 (помічник)|Факс: (044) 255-39-57,
17962,Horbunov.Oleksandr@rada.gov.ua,Тел: (044) 255-43-68,www.facebook.com/profile.php?id=100000968968654
18075,Gorvat.Robert@rada.gov.ua,Тел: (044) 255-35-79,www.facebook.com/R.Gorvat
15953,Hordieiev.Andrii@rada.gov.ua,,
17995,Hranovskyi.Oleksandr@rada.gov.ua,Тел: (044) 255-28-95|Факс: (044) 255-30-48*,
5414,Hryniv.Ihor@rada.gov.ua,Факс: (044) 255-25-86|Тел: (044) 255-38-79,
15646,Hrynevych.Liliia@rada.gov.ua,,
17973,V.Groysman@rada.gov.ua,,twitter.com/VGroysman|www.facebook.com/pages/Volodymyr-Groysman/149481385220784?sk=timeline
18077,Hudzenko.Vitalii@rada.gov.ua,Тел: (044) 255-24-37 (помічник),
14674,Huz.Ihor@rada.gov.ua,Тел: (044) 255-38-29 (помічник)|Факс: (044) 255-38-29,www.guz.in.ua|www.facebook.com/igor.guz?fref=ts
19112,,Тел: (044),
18078,Huliaiev.Vasyl@rada.gov.ua,Тел: (044) 255-28-30|Факс: (044) 255-36-68,
18036,Husak.Volodymyr@rada.gov.ua,Тел: (044) 255-34-54,
18017,Didenko.Ihor@rada.gov.ua,Тел: (044) 255-25-02 (помічник),
18083,Didych.Valentyn@rada.gov.ua,Тел: (044) 255-35-14,
18079,Davydenko.Valerii@rada.gov.ua,Тел: (044) 255-22-01,
20121,danilin@v.rada.gov.ua,Тел: (044) 255-42-92,
18009,Danchenko.Oleksandr@rada.gov.ua,Тел: (044) 255-32-01 (помічник)|Факс: (044) 255-22-74,
17956,Deidei.Yevhen@rada.gov.ua,Тел: (044) 255-26-88,
18080,Demchak.Ruslan@rada.gov.ua,Тел: (044) 255-29-33 (помічник),www.facebook.com/DemchakRuslanYevhenovych|ruslan-demchak.com.ua
8757,Denisova.Liudmyla@rada.gov.ua,,www.facebook.com/denisovamlsp
15815,Denysenko.Anatolii@rada.gov.ua,Тел: (044) 255-91-09,denisenko.kharkov.ua
18081,Denysenko.Andrii@rada.gov.ua,Тел: (044) 255-27-21,
17986,Denysenko.Vadym@rada.gov.ua,Тел: (044) 255-30-23,
15768,Derevyanko.Yuriy@rada.gov.ua,Тел: (044) 255-34-81,www.derevyanko.org|derevyanko.org/ua/news/rss/index.xml|my.korrespondent.net/user/65909264/publications|plus.google.com/u/0/115661145853716597771/posts|www.facebook.com/derevyanko.yurii|www.youtube.com/user/derevyankoyurii?feature=watch|blog.liga.net/user/yderevyanko/default.aspx
2284,Derkach.Andrii@rada.gov.ua,Тел: (044) 255-43-95,
6130,Dekhtiarchuk.Oleksandr@rada.gov.ua,Тел: (044) 255-36-82 (помічник),
2394,Dzhemiliev.Mustafa@rada.gov.ua,Тел: (044) 255-46-26,
15652,Dzenzerskyi.Denys@rada.gov.ua,Тел: (044) 255-21-51 (помічник),www.dzenzersky.com
18082,Dziublyk.Pavlo@rada.gov.ua,Тел: (044) 255-35-33,
15767,Dyriv.Anatolii@rada.gov.ua,Тел: (044) 255-27-06,
18084,Dmytrenko.Oleh@rada.gov.ua,Тел: (044) 255-23-17 (помічник),
15818,Dobkin.Dmytro@rada.gov.ua,Тел: (044) 255-34-74,
5578,Dobkin.Mykhailo@rada.gov.ua,Тел: (044) 255-38-17,
18085,Dobrodomov.Dmytro@rada.gov.ua,Тел: (044) 255-34-63,on.fb.me/1spEQMV|blogs.pravda.com.ua/authors/dobrodomov/
6201,Dovbenko.Mykhailo@rada.gov.ua,Тел: (044) 255-34-06|Факс: (044) 255-25-30,
18086,Dovhyi.Oles@rada.gov.ua,Тел: (044) 255-91-14,
15644,Dolzhenkov.Oleksandr@rada.gov.ua,Тел: (044) 255-37-71,
15727,Dombrovskyi.Oleksandr@rada.gov.ua,Тел: (044) 255-26-72,
3849,Donets.Tetiana@rada.gov.ua,Тел: (044) 255-95-88,tetianadonets.com
18221,Drayuk.Serhii@rada.gov.ua,Тел: (044) 255-44-05,
18222,Drozdyk.Oleksandr@rada.gov.ua,Тел: (044) 255-42-77,www.facebook.com/o.drozdyk
12272,Dubil.Valerii@rada.gov.ua,Тел: (044) 255-43-88,www.youtube.com/user/valeriydubil|www.facebook.com/dubil.valerii|www.dubil.org|kievvlast.com.ua/search?author_id=618
18087,Dubinin.Oleksandr@rada.gov.ua,Тел: (044) 255-23-49,
18088,Dubnevych.Bohdan@rada.gov.ua,Тел: (044) 255-45-18,
15790,Dubnevych.Yaroslav@rada.gov.ua,Факс: (044) 255-33-58|Тел: (044) 255-34-71 (приймальня),
15780,Dunaiev.Serhii@rada.gov.ua,Тел: (044) 255-37-57|Факс: (044) 255-36-80,
2301,Zhevago.Kostiantyn@rada.gov.ua,Тел: (044) 255-35-37,
18091,Zholobetskyi.Oleksandr@rada.gov.ua,Тел: (044) 255-38-06,
18015,Zhurzhii.Andrii@rada.gov.ua,Факс: (044) 255-32-64*|Тел: (044) 255-27-34,www.facebook.com/profile.php?id=100001269912329&fref=ts
15730,Zabolotnyi.Hryhorii@rada.gov.ua,Тел: (044) 255-25-78 (приймальня)|Факс: (044) 255-25-78*,
17991,Zagorii.Glib@rada.gov.ua,Тел: (044) 255-44-18,
17976,Zalishchuk.Svitlana@rada.gov.ua,Тел: (044) 255-39-03,
20536,zaruzhko@v.rada.gov.ua,Тел: (044) 255-38-57,
17955,Zastavnyi.Roman@rada.gov.ua,Тел: (044) 255-42-49,
2158,Zvarych.Roman@rada.gov.ua,Тел: (044),
833,Zviahilskyi.Yukhym@rada.gov.ua,Тел: (044) 255-87-31,
19126,Zubach.Liubomyr@rada.gov.ua,Тел: (044) 255-37-04,
8771,Zubyk.Volodymyr@rada.gov.ua,Тел: (044) 255-45-52,
2320,Kivalov.Serhii@rada.gov.ua,Тел: (044) 255-20-97 (приймальня)|Факс: (044) 255-21-92,
18031,Kiral.Serhii@rada.gov.ua,Тел: (044) 255-32-76,
18093,Kirsh.Oleksandr@rada.gov.ua,Тел: (044) 255-30-94,
13694,Kiseliov.Andrii@rada.gov.ua,Тел: (044) 255-44-84,
7371,Kisse.Anton@rada.gov.ua,Тел: (044) 255-39-29 (помічник),
18094,Kit.Andrii@rada.gov.ua,Тел: (044) 255-38-97,
16618,Kadykalo.Mykola@rada.gov.ua,Тел: (044) 255-34-67,
15801,Kaplin.Serhii@rada.gov.ua|kaplinsergii@gmail.com,Тел: (044) 255-46-86 (помічник),www.facebook.com/kaplins|viber.com/-sdp|www.youtube.com/user/serhiykaplin/
5142,karpuntsov@v.rada.gov.ua,Тел: (044) 255-39-64 (помічник),
17967,Katser-Buchkovska.Nataliia@rada.gov.ua,Тел: (044) 255-26-73,
15816,Katsuba.Volodymyr@rada.gov.ua,Моб: +380689508008,
1351,Kyrylenko.Ivan@rada.gov.ua,Тел: (044) 255-24-55 (помічник),
2155,Kyrylenko.Viacheslav@rada.gov.ua,,
12455,Kyrychenko.Oleksii@rada.gov.ua,Тел: (044) 255-95-84,
18006,Kyshkar.Pavlo@rada.gov.ua,Тел: (044) 255-45-15,
5423,Klimov.Leonid@rada.gov.ua,Тел: (044) 255-35-17,
17997,Klympush-Tsyntsadze.Ivanna@rada.gov.ua,,
8781,Kliuiev.Serhii@rada.gov.ua,Факс: (044) 255-25-95*|Тел: (044) 255-25-95 (помічник),
15645,Kniazhytskyi.Mykola@rada.gov.ua,Тел: (044) 255-44-83|Факс: (044) 255-47-56,
1897,Kniazevych.Ruslan@rada.gov.ua,Тел: (044) 255-28-09|Факс: (044) 255-33-81,
17990,Kobtsev.Mykhaylo@rada.gov.ua,Тел: (044) 255-26-89 (помічник),
15668,Kovalchuk.Vitalii@rada.gov.ua,,
15309,Kodola.Oleksandr@rada.gov.ua,Тел: (044) 255-45-44,www.facebook.com/oleksandr.mihalich
8786,Kozhemiakin.Andrii@rada.gov.ua,Тел: (044) 255-35-06 (приймальня)|Факс: (044) 255-33-24,
18034,Kozak.Taras@rada.gov.ua,Тел: (044) 255-42-64,
7175,Kozachenko.Leonid@rada.gov.ua,Тел: (044) 255-21-57,
18095,Kozyr.Borys@rada.gov.ua,Тел: (044) 255-34-44,
11098,Koliesnikov.Dmytro@rada.gov.ua,Тел: (044) 255-38-32,
17414,Kolhanova.Olena@rada.gov.ua,Тел: (044) 255-95-87,
11166,Kondratiuk.Olena@rada.gov.ua,Тел: (044) 255-95-12,
17981,Kononenko.Ihor@rada.gov.ua,Тел: (044) 255-28-33,
20103,konstankevych@v.rada.gov.ua,Тел: (044) 255-39-12,
18096,Konstantinovskyi.Viacheslav@rada.gov.ua,Тел: (044) 255-29-51 (помічник)|Факс: (044) 255-29-51*,www.facebook.com/v.konstantinovskyi
18097,Kornatskyi.Arkadii@rada.gov.ua,Тел: (044) 255-21-03,
8693,Korolevska.Nataliia@rada.gov.ua,Тел: (044) 255-45-09,twitter.com/nkorolevska|vk.com/nataliya.korolevska|www.facebook.com/nataliya.korolevska|korolevska.com.ua|ok.ru/group/53231962554619|plusgoogle.com/u/l/+nataliyakorolevska/post|instagram.com/nataliya.korolevska|www.youtube.com/user/nataliyakorolevska
2314,Korol.Viktor@rada.gov.ua,Тел: (044) 255-25-40 (помічник),
18167,Korchyk.Vitalii@rada.gov.ua,Тел: (044) 255-24-72 (помічник),
18165,Korchynska.Oksana@v.rada.gov.ua,Тел: (044) 255-95-06,
18028,Kostenko.Pavlo@rada.gov.ua,Тел: (044) 255-39-14 (помічник),
17965,Kotvitskyi.Ihor@rada.gov.ua,Тел: (044) 255-35-92,
18048,Koshelieva.Aliona@rada.gov.ua,Тел: (044) 255-91-41,
17969,Kremin.Taras@rada.gov.ua,Тел: (044) 255-33-69 (помічник),
18005,Kryvenko.Viktor@rada.gov.ua,Тел: (044) 255-46-05,
17970,Kryvenko.Vadym@rada.gov.ua,Тел: (044) 255-91-28,
18107,Kryvokhatko.Vadym@rada.gov.ua,Факс: (044) 255-23-66*|Тел: (044) 255-23-66 (помічник),
15901,Kryvosheia.Hennadii@rada.gov.ua,Тел: (044) 255-37-54,
18108,Kryshyn.Oleh@rada.gov.ua,Тел: (044) 255-39-68 (помічник),
6073,Krulko.Ivan@rada.gov.ua,Тел: (044) 255-46-67 (помічник),bm.org.ua|batkivshchyna.com.ua
17957,Ksenzhuk.Oleksandr@rada.gov.ua,Тел: (044) 255-29-25 (помічник),
15649,kubivstepan@gmail.com|Kubiv.Stepan@rada.gov.ua,,www.facebook.com/skubiv
17999,Kudlaienko.Serhii@rada.gov.ua,Тел: (044) 255-25-74 (помічник),
735,Kuzhel.Oleksandra@rada.gov.ua,Тел: (044) 255-36-34 (помічник),
18109,Kuzmenko.Anatolii@rada.gov.ua,Тел: (044) 255-34-09,
15804,Kulinich.Oleh@rada.gov.ua,Факс: (044) 255-29-62|Тел: (044) 255-29-62 (помічник),
18160,Kulich.Valerii@rada.gov.ua,,
18110,Kulichenko.Ivan@rada.gov.ua,Тел: (044) 255-49-86,
15840,Kunitsyn.Serhii@rada.gov.ua,Тел: (044) 255-42-54 (помічник),
18050,Kupriienko.Oleh@rada.gov.ua,Тел: (044) 255-43-27,
18111,Kuprii.Vitalii@rada.gov.ua,Тел: (044) 255-21-19 (помічник),kuprii.info/uk-UA|www.facebook.com/vitaliy.kupriy
8802,Kurennoi.Volodymyr@rada.gov.ua,Тел: (044),
8803,Kurylo.Vitalii@rada.gov.ua,Тел: (044) 255-34-33,
13646,Kuriachyi.Maksym@rada.gov.ua,Тел: (044) 255-28-04,km-ua.com|www.facebook.com/kuryachiy
15805,Kutovyi.Taras@rada.gov.ua,,kutoviy.com
18112,Kucher.Mykola@rada.gov.ua,Тел: (044) 255-38-98,
18115,Livik.Oleksandr@rada.gov.ua,Тел: (044) 255-26-79,
18052,Linko.Dmytro@rada.gov.ua,Тел: (044) 255-34-59,
15824,Labaziuk.Serhii@rada.gov.ua,Тел: (044) 255-37-53|Факс: (044) 255-33-71,
18113,Lavryk.Mykola@rada.gov.ua,Тел: (044) 255-43-72,
18011,Lavryk.Oleh@rada.gov.ua,Факс: (044) 255-32-06|Тел: (044) 255-32-06 (помічник),
15756,Lanio.Mykhailo@rada.gov.ua,Тел: (044) 255-23-65 (помічник),
18114,Lapin.Ihor@rada.gov.ua,Тел: (044) 255-44-62,www.youtube.com/channel/UCdExvLAviuDC_n_RJsLJGMQ|www.facebook.com/igoroleksandrovychlapin|censor.net.ua/blogs/all/page/1/category/0/interval/5/author/358912/sortby/date|igorlapin.com.ua
2179,Larin.Serhii@rada.gov.ua,Тел: (044) 255-35-61,
11694,Levus.Andrii@rada.gov.ua,Тел: (044) 255-26-11,
16672,Levchenko.Yurii@rada.gov.ua,Тел: (044) 255-44-29,
17413,Ledovskikh.Olena@rada.gov.ua,Факс: (044) 255-22-92*|Тел: (044) 255-29-24 (помічник),
10204,Lenskyi.Oleksii@rada.gov.ua,Тел: (044) 255-30-18,
18605,Lesiuk.Yaroslav@rada.gov.ua,Тел: (044) 255-45-19,
17977,Leshchenko.Serhii@rada.gov.ua,Тел: (044) 255-38-37,
5470,Lytvyn.Volodymyr@rada.gov.ua,Тел: (044) 255-38-18 (приймальня),www.facebook.com/lytvyn.volodymyr|www.facebook.com/vm.lytvyn
17958,glogvynskyi@rada.gov.ua,Факс: (044) 255-41-52|Тел: (044) 255-43-30,
15916,Lozovoi.Andrii@rada.gov.ua,Тел: (044) 255-38-54,
8815,Lopushanskyi.Andrii@rada.gov.ua,Факс: (044) 255-25-96*|Тел: (044) 255-28-74,
18116,Lubinets.Dmytro@rada.gov.ua,Тел: (044) 255-43-60|Факс: (044) 255-49-00,www.facebook.com/dmytro.lubinets|dmytrolubinets.dn.ua
6332,Lukianchuk.Ruslan@rada.gov.ua,Тел: (044) 255-33-01 (помічник)|Факс: (044) 255-33-01,
15662,Lunchenko.Valerii@rada.gov.ua,Тел: (044) 255-31-86,
18054,Lutsenko.Ihor@rada.gov.ua,Тел: (044) 255-35-63,
15647,Lutsenko.Iryna@rada.gov.ua,Тел: (044) 255-38-34 (помічник),
4132,Lutsenko.Yurii@rada.gov.ua,,
7718,Liovochkin.Serhii@rada.gov.ua,Тел: (044) 255-31-58,
11109,Liovochkina.Yulia@rada.gov.ua,Тел: (044) 255-35-68,
18117,Liushniak.Mykola@rada.gov.ua,Тел: (044) 255-38-69,
8818,Liashko.Oleh@rada.gov.ua,Тел: (044) 255-38-78к,twitter.com/OVLiashko|vk.com/oleg_lyashko|www.youtube.com/user/lyashkocomua|vkontakte.ru/app2349098_31519102?ref=9|o-liashko.livejournal.com|my.korrespondent.net/user/179552/publications/blogs|nbnews.com.ua/writers/117/|politiko.ua/profile-128214|shamotiy.wordpress.com|www.flickr.com/photos/olegliashko/sets/|www.liashko.ua|www.facebook.com/O.Liashko|blogs.lb.ua/oleg_lyashko|tribun.com.ua/blogs/oleg_lyashko|blogs.tochka.net/blogs-profile-1424724/
18014,Miroshnichenko.Ivan@rada.gov.ua,Тел: (044) 255-26-20,
18030,Miroshnyk.Andrii@rada.gov.ua,,
8826,Miroshnychenko.Yurii@rada.gov.ua,Тел: (044) 255-35-67|Факс: (044) 255-22-24,www.miroshnychenko.ua
8827,Mischenko.Serhii@rada.gov.ua,Факс: (044) 255-24-98*|Тел: (044) 255-38-48,www.sergiymishchenko.openua.net
15972,Makarian.David@rada.gov.ua,,
18163,Makedon.Yurii@rada.gov.ua,Тел: (044) 255-39-11,
17974,Mamchur.Yulii@rada.gov.ua,Тел: (044) 255-34-01,
18013,Markevych.Yaroslav@rada.gov.ua,Тел: (044) 255-45-13,
2323,Martynenko.Mykola@rada.gov.ua,,
15732,Martyniak.Serhii@rada.gov.ua,Тел: (044) 255-39-06,
15744,Martovytskyi.Artur@rada.gov.ua,Тел: (044) 255-26-23|Факс: (044) 255-25-35,
18118,Marchenko.Oleksandr@rada.gov.ua,Тел: (044) 255-44-16,
17966,Masorina.Olena@rada.gov.ua,Тел: (044) 255-24-60 (помічник),
15665,Matios.Mariia@rada.gov.ua,Тел: (044) 255-31-81,
2262,Matviienko.Anatolii@rada.gov.ua,Тел: (044) 255-34-65,
2356,Matviienkov.Serhii@rada.gov.ua,Тел: (044) 255-91-59,
5500,Matviichuk.Eduard@rada.gov.ua,Тел: (044) 255-31-40,
17953,Mateichenko.Kostiantyn@rada.gov.ua,Тел: (044) 255-35-70,
18119,Matkivskyi.Bohdan@rada.gov.ua,Тел: (044) 255-91-44|Факс: (044) 255-92-21,
11342,Matuzko.Olena@rada.gov.ua,Тел: (044) 255-35-39,
18120,Matsola.Roman@rada.gov.ua,Тел: (044) 255-35-15,
12003,Medunytsia.Oleh@rada.gov.ua,Тел: (044) 255-42-89,
18161,Melnyk.Serhii@rada.gov.ua,Тел: (044) 255-46-09,
15828,Melnychenko.Volodymyr@rada.gov.ua,Тел: (044) 255-23-72 (помічник),
18121,Melnychuk.Ivan@rada.gov.ua,Тел: (044) 255-35-64,
18039,Melnychuk.Serhii@rada.gov.ua,Тел: (044) 255-38-10,
19740,meparishvili@v.rada.gov.ua,Тел: (044) 255-43-82,
20107,mykytas@v.rada.gov.ua,Тел: (044) 255-43-91,
11106,Myrnyi.Ivan@rada.gov.ua,Тел: (044) 255-33-51 (помічник),
15814,Mysyk.Volodymyr@rada.gov.ua,Факс: (044) 255-24-13*|Тел: (044) 255-24-13 (помічник),
15810,Molotok.Ihor@rada.gov.ua,Тел: (044) 255-33-63 (помічник)|Факс: (044) 255-33-63*,
11102,Moroko.Yurii@rada.gov.ua,Тел: (044) 255-37-78,
